39,77516, Bachelors, White, Male,40, United-States
30,194901, 11th, White, Male,40, United-States
31,189265, HS-grad, White, Female,40, United-States
42,124692, HS-grad, White, Male,40, United-States
24,432376, Bachelors, White, Male,40, United-States
38,65324, Prof-school, White, Male,40, United-States
56,335605, HS-grad, White, Male,50, Canada
28,377869, Some-college, White, Female,25, United-States
36,102864, HS-grad, White, Female,40, United-States
53,95647, 9th, White, Male,50, United-States
56,303090, Some-college, White, Male,50, United-States
49,197371, Assoc-voc, Black, Male,40, United-States
55,247552, Some-college, White, Male,56, United-States
22,102632, HS-grad, White, Male,41, United-States
21,199915, Some-college, White, Female,40, United-States
40,118853, Bachelors, White, Male,60, United-States
30,77143, Bachelors, Black, Male,40, Germany
29,267989, Bachelors, White, Male,50, United-States
19,301606, Some-college, Black, Male,35, United-States
47,287828, Bachelors, White, Female,40, United-States
20,111697, Some-college, White, Female,28, United-States
31,114937, Assoc-acdm, White, Male,40, United-States
35,129305, HS-grad, White, Male,40, United-States
39,365739, Some-college, White, Male,40, United-States
28,69621, Assoc-acdm, White, Female,60, United-States
24,43323, HS-grad, White, Female,40, United-States
38,120985, HS-grad, White, Male,35, United-States
37,254202, Bachelors, White, Male,50, United-States
46,146195, Assoc-acdm, Black, Female,36, United-States
38,125933, Masters, White, Male,40, Iran
43,56920, HS-grad, White, Male,60, United-States
27,163127, Assoc-voc, White, Female,35, United-States
20,34310, Some-college, White, Male,20, United-States
49,81973, Some-college, Asian-Pac-Islander, Male,40, United-States
61,66614, HS-grad, White, Male,40, United-States
27,232782, Some-college, White, Female,40, United-States
19,316868, Some-college, White, Male,30, Mexico
45,196584, Assoc-voc, White, Female,40, United-States
70,105376, Some-college, White, Male,40, United-States
31,185814, HS-grad, Black, Female,30, United-States
22,175374, Some-college, White, Male,24, United-States
36,108293, HS-grad, White, Female,24, United-States
64,181232, 11th, White, Male,40, United-States
43,174662, Some-college, White, Female,40, United-States
47,186009, Some-college, White, Female,38, Mexico
34,198183, HS-grad, White, Female,40, United-States
33,163003, Bachelors, Asian-Pac-Islander, Female,40, Philippines
21,296158, HS-grad, White, Male,35, United-States
52,252903, HS-grad, White, Male,45, United-States
48,187715, HS-grad, White, Male,46, United-States
23,214542, Bachelors, White, Male,40, United-States
71,494223, Some-college, Black, Male,2, United-States
29,191535, HS-grad, White, Male,60, United-States
42,228456, Bachelors, Black, Male,50, United-States
68,38317, 1st-4th, White, Female,20, United-States
25,252752, HS-grad, White, Female,40, United-States
44,78374, Masters, Asian-Pac-Islander, Female,40, United-States
28,88419, HS-grad, Asian-Pac-Islander, Female,40, England
45,201080, Masters, White, Male,40, United-States
36,207157, Some-college, White, Female,40, Mexico
39,235485, Assoc-acdm, White, Male,42, United-States
46,102628, Masters, White, Male,40, United-States
18,25828, 11th, White, Male,16, United-States
66,54826, Assoc-voc, White, Female,20, United-States
27,124953, HS-grad, White, Male,40, United-States
28,175325, HS-grad, White, Male,40, United-States
51,96062, Some-college, White, Male,40, United-States
27,428030, Bachelors, White, Male,50, United-States
28,149624, Bachelors, White, Male,40, United-States
27,253814, HS-grad, White, Female,25, United-States
21,312956, HS-grad, Black, Male,40, United-States
34,483777, HS-grad, Black, Male,40, United-States
18,183930, HS-grad, White, Male,12, United-States
33,37274, Bachelors, White, Male,65, United-States
44,181344, Some-college, Black, Male,38, United-States
43,114580, Some-college, White, Female,40, United-States
30,633742, Some-college, Black, Male,45, United-States
40,286370, 7th-8th, White, Male,40, Mexico
37,29054, Some-college, White, Male,42, United-States
34,304030, HS-grad, Black, Male,40, United-States
41,143129, Bachelors, White, Female,40, United-States
53,135105, Bachelors, White, Female,50, United-States
31,99928, Masters, White, Female,50, United-States
58,109567, Doctorate, White, Male,1, United-States
38,155222, Some-college, Black, Female,28, United-States
24,159567, Some-college, White, Male,40, United-States
41,523910, Bachelors, Black, Male,40, United-States
47,120939, Some-college, White, Male,45, United-States
41,130760, Bachelors, White, Male,24, United-States
23,197387, 5th-6th, White, Male,40, Mexico
36,99374, Some-college, White, Male,40, United-States
40,56795, Masters, White, Female,55, United-States
35,138992, Masters, White, Male,40, United-States
24,32921, HS-grad, White, Male,40, United-States
26,397317, Masters, White, Female,40, United-States
19,170653, HS-grad, White, Male,40, Italy
51,259323, Bachelors, White, Male,50, United-States
42,254817, Some-college, White, Female,40, United-States
37,48211, HS-grad, White, Female,35, United-States
18,140164, 11th, White, Female,40, United-States
36,128757, Bachelors, Black, Male,36, United-States
35,36270, HS-grad, White, Male,60, United-States
58,210563, HS-grad, White, Female,35, United-States
17,65368, 11th, White, Female,12, United-States
44,160943, HS-grad, Black, Male,40, United-States
37,208358, HS-grad, White, Male,40, United-States
35,153790, Some-college, Amer-Indian-Eskimo, Female,40, United-States
60,85815, HS-grad, Asian-Pac-Islander, Male,40, United-States
54,125417, 7th-8th, White, Male,40, United-States
37,635913, Bachelors, Black, Male,60, United-States
50,313321, Assoc-acdm, White, Female,40, United-States
38,182609, Bachelors, White, Male,50, Poland
45,109434, Bachelors, White, Male,55, United-States
25,255004, 10th, White, Male,40, United-States
31,197860, Some-college, White, Male,40, United-States
64,187656, 1st-4th, White, Male,40, United-States
90,51744, HS-grad, Black, Male,40, United-States
54,176681, HS-grad, Black, Male,20, United-States
53,140359, Preschool, White, Female,35, United-States
18,243313, HS-grad, White, Female,40, United-States
60,24215, 10th, Amer-Indian-Eskimo, Female,10, United-States
66,167687, HS-grad, White, Male,50, United-States
75,314209, Assoc-voc, White, Female,20, Columbia
65,176796, HS-grad, White, Female,40, United-States
35,538583, 11th, Black, Male,40, United-States
41,130408, HS-grad, Black, Female,38, United-States
25,159732, Some-college, White, Male,42, United-States
33,110978, Some-college, Other, Female,40, United-States
28,76714, Prof-school, White, Male,55, United-States
59,268700, HS-grad, White, Male,40, United-States
40,170525, Some-college, White, Female,38, United-States
41,180138, Bachelors, White, Male,50, Iran
38,115076, Masters, White, Male,70, United-States
23,115458, HS-grad, White, Male,40, United-States
40,347890, Bachelors, White, Male,40, United-States
41,196001, HS-grad, White, Female,20, United-States
24,273905, Assoc-acdm, White, Male,50, United-States
20,119156, Some-college, White, Male,20, United-States
38,179488, Some-college, White, Male,40, United-States
56,203580, HS-grad, White, Male,35, NA
58,236596, HS-grad, White, Male,45, United-States
32,183916, HS-grad, White, Female,34, United-States
40,207578, Assoc-acdm, White, Male,60, United-States
45,153141, HS-grad, White, Male,40, NA
41,112763, Prof-school, White, Female,40, United-States
42,390781, Bachelors, Black, Female,40, United-States
59,171328, 10th, Black, Female,30, United-States
19,27382, Some-college, White, Male,40, United-States
58,259014, Some-college, White, Male,20, United-States
42,303044, HS-grad, Asian-Pac-Islander, Male,40, Cambodia
20,117789, HS-grad, White, Female,40, United-States
32,172579, HS-grad, White, Female,30, United-States
45,187666, Assoc-voc, White, Female,45, United-States
50,204518, 7th-8th, White, Male,40, United-States
36,150042, Bachelors, White, Female,40, United-States
45,98092, HS-grad, White, Male,60, United-States
17,245918, 11th, White, Male,12, United-States
59,146013, Some-college, White, Male,40, United-States
26,378322, 11th, White, Male,40, United-States
37,257295, Some-college, Asian-Pac-Islander, Male,75, Thailand
19,218956, Some-college, White, Male,24, Canada
64,21174, HS-grad, White, Male,40, United-States
33,185480, Bachelors, White, Female,45, United-States
33,222205, HS-grad, White, Female,40, United-States
61,69867, HS-grad, White, Male,40, United-States
17,191260, 9th, White, Male,24, United-States
50,30653, Masters, White, Male,98, United-States
27,209109, Masters, White, Male,35, United-States
30,70377, HS-grad, White, Female,40, United-States
43,477983, HS-grad, Black, Male,40, United-States
44,170924, Some-college, White, Male,40, United-States
35,190174, Some-college, White, Female,40, United-States
25,193787, Some-college, White, Female,40, United-States
24,279472, Some-college, White, Female,48, United-States
22,34918, Bachelors, White, Female,15, Germany
42,97688, Some-college, White, Male,40, United-States
34,175413, Assoc-acdm, Black, Female,45, United-States
60,173960, Bachelors, White, Female,42, United-States
21,205759, HS-grad, White, Male,40, United-States
57,425161, Masters, White, Male,40, United-States
41,220531, Prof-school, White, Male,60, United-States
50,176609, Some-college, White, Male,45, United-States
25,371987, Bachelors, White, Female,40, United-States
50,193884, 7th-8th, White, Male,40, Ecuador
36,200352, Bachelors, White, Male,45, United-States
31,127595, HS-grad, White, Female,40, United-States
29,220419, Bachelors, White, Male,56, United-States
21,231931, Some-college, White, Male,45, United-States
27,248402, Bachelors, Black, Female,40, United-States
65,111095, HS-grad, White, Male,16, United-States
37,57424, Bachelors, White, Female,60, United-States
39,157443, Masters, Asian-Pac-Islander, Female,40, NA
24,278130, HS-grad, White, Male,40, United-States
38,169469, HS-grad, White, Male,80, United-States
48,146268, Bachelors, White, Male,40, United-States
21,153718, Some-college, Asian-Pac-Islander, Female,25, United-States
31,217460, HS-grad, White, Male,45, United-States
55,238638, HS-grad, White, Male,40, United-States
24,303296, Some-college, Asian-Pac-Islander, Female,40, Laos
43,173321, HS-grad, White, Female,40, United-States
26,193945, Assoc-acdm, White, Male,45, United-States
46,83082, Assoc-acdm, White, Female,33, United-States
35,193815, Assoc-acdm, White, Male,40, United-States
41,34987, Some-college, White, Male,54, United-States
26,59306, Bachelors, White, Male,40, United-States
34,142897, Masters, Asian-Pac-Islander, Male,35, Taiwan
19,860348, Some-college, Black, Female,25, United-States
36,205607, Bachelors, Black, Female,40, United-States
22,199698, Some-college, White, Male,15, United-States
24,191954, Some-college, White, Male,40, United-States
77,138714, Some-college, White, Male,40, United-States
22,399087, 5th-6th, White, Female,40, Mexico
29,423158, Some-college, White, Female,40, United-States
62,159841, HS-grad, White, Female,24, United-States
39,174308, HS-grad, White, Male,40, United-States
43,50356, Some-college, White, Male,50, United-States
35,186110, HS-grad, White, Male,45, United-States
29,200381, 11th, White, Female,40, United-States
76,174309, Masters, White, Male,10, United-States
63,78383, HS-grad, White, Male,45, United-States
23,211601, Assoc-voc, Black, Female,15, United-States
43,187728, Some-college, White, Female,50, United-States
58,321171, HS-grad, White, Male,40, United-States
66,127921, HS-grad, White, Male,55, United-States
41,206565, Some-college, Black, Male,45, United-States
26,224563, Bachelors, White, Male,40, United-States
47,178686, Assoc-voc, White, Male,40, United-States
55,98545, 10th, White, Male,40, United-States
53,242606, HS-grad, White, Male,40, United-States
17,270942, 5th-6th, White, Male,48, Mexico
30,94235, HS-grad, White, Male,40, United-States
49,71195, Masters, White, Male,60, United-States
19,104112, HS-grad, Black, Male,30, Haiti
45,261192, HS-grad, Black, Male,40, United-States
26,94936, Assoc-acdm, White, Male,40, United-States
38,296478, Assoc-voc, White, Male,40, United-States
36,119272, HS-grad, White, Male,40, United-States
33,85043, HS-grad, White, Male,20, United-States
22,293364, Some-college, Black, Female,40, United-States
43,241895, Bachelors, White, Male,42, United-States
67,36135, 11th, White, Male,8, United-States
30,151989, Assoc-voc, White, Female,40, United-States
56,101128, Assoc-acdm, White, Male,25, Iran
31,156464, Bachelors, White, Male,25, United-States
33,117963, Bachelors, White, Male,40, United-States
26,192262, HS-grad, White, Male,40, United-States
33,111363, Bachelors, White, Male,40, United-States
46,329752, 11th, White, Male,30, United-States
59,372020, Bachelors, White, Male,40, United-States
38,95432, HS-grad, White, Male,40, United-States
65,161400, 11th, Other, Male,40, United-States
40,96129, Assoc-voc, White, Male,40, United-States
42,111949, HS-grad, White, Female,35, United-States
26,117125, 9th, White, Male,40, Portugal
36,348022, 10th, White, Female,24, United-States
62,270092, Masters, White, Male,40, United-States
43,180609, Bachelors, White, Male,45, United-States
43,174575, Bachelors, White, Male,45, United-States
22,410439, HS-grad, White, Male,55, United-States
28,92262, HS-grad, White, Male,40, United-States
56,183081, Some-college, White, Male,45, United-States
22,362589, Assoc-acdm, White, Female,15, United-States
57,212448, Bachelors, White, Female,45, United-States
39,481060, HS-grad, White, Female,40, United-States
26,185885, Some-college, White, Female,15, United-States
17,89821, 11th, White, Male,10, United-States
40,184018, Assoc-voc, White, Male,38, United-States
45,256649, HS-grad, Black, Male,40, United-States
44,160323, HS-grad, Black, Male,40, United-States
20,350845, Some-college, White, Female,10, United-States
33,267404, HS-grad, White, Female,40, United-States
23,35633, Some-college, White, Male,40, United-States
46,80914, Masters, White, Male,30, United-States
38,172927, HS-grad, White, Male,50, United-States
54,174319, HS-grad, White, Male,40, United-States
46,214955, 5th-6th, White, Female,45, United-States
25,344991, Some-college, White, Male,40, United-States
46,108699, Some-college, White, Female,40, United-States
36,117312, Some-college, White, Female,40, United-States
23,396099, HS-grad, White, Female,25, United-States
29,134152, HS-grad, White, Male,40, United-States
44,162028, Some-college, White, Female,6, United-States
19,25429, Some-college, White, Female,16, United-States
19,232392, HS-grad, White, Female,40, United-States
35,220098, HS-grad, White, Female,40, United-States
27,301302, Bachelors, White, Male,50, United-States
46,277946, Assoc-acdm, White, Male,40, United-States
34,98101, Bachelors, White, Male,45, NA
34,196164, HS-grad, White, Female,35, United-States
44,115562, Some-college, White, Male,40, United-States
45,96975, Some-college, White, Female,40, United-States
20,137300, HS-grad, White, Female,35, United-States
25,86872, Bachelors, White, Male,55, United-States
52,132178, Bachelors, White, Male,50, United-States
20,416103, Some-college, White, Male,40, United-States
28,108574, Some-college, White, Female,40, United-States
50,288353, Bachelors, White, Male,40, United-States
34,227689, Assoc-voc, White, Female,64, United-States
28,166481, 7th-8th, Other, Male,40, Puerto-Rico
41,445382, Masters, White, Male,65, United-States
28,110145, HS-grad, White, Male,40, United-States
46,317253, HS-grad, White, Male,25, United-States
28,123147, Some-college, White, Female,40, United-States
32,364657, Some-college, White, Male,50, United-States
41,42346, Some-college, Black, Female,24, United-States
24,241951, HS-grad, Black, Female,40, United-States
33,118500, Some-college, White, Female,40, United-States
46,188386, Doctorate, White, Male,60, United-States
31,1033222, Some-college, White, Male,40, United-States
35,92440, 12th, White, Male,50, United-States
52,190762, 1st-4th, White, Male,40, Mexico
30,426017, 11th, White, Female,19, United-States
34,243867, 11th, Black, Male,40, United-States
34,240283, HS-grad, White, Female,40, United-States
20,61777, Some-college, White, Male,30, United-States
17,175024, 11th, White, Male,18, United-States
32,92003, Bachelors, White, Female,40, United-States
29,188401, HS-grad, White, Male,40, United-States
33,228528, 10th, White, Female,35, United-States
25,133373, HS-grad, White, Male,60, United-States
36,255191, Masters, White, Male,40, United-States
23,204653, HS-grad, White, Male,72, Dominican-Republic
63,222289, HS-grad, White, Male,40, United-States
47,287480, Masters, White, Male,40, United-States
80,107762, HS-grad, White, Male,24, United-States
17,202521, 11th, White, Male,40, United-States
40,204116, Bachelors, White, Female,40, United-States
30,29662, Assoc-acdm, White, Female,25, United-States
27,116358, Some-college, Asian-Pac-Islander, Male,40, Philippines
33,208405, Masters, White, Male,50, United-States
34,284843, HS-grad, Black, Male,60, United-States
34,117018, Some-college, White, Female,40, United-States
23,81281, Some-college, White, Male,40, United-States
42,340148, Some-college, White, Female,40, United-States
29,363425, Bachelors, White, Male,40, United-States
45,45857, HS-grad, White, Female,28, United-States
24,191073, HS-grad, White, Male,40, United-States
44,116632, Some-college, White, Male,40, United-States
27,405855, 9th, White, Male,40, Mexico
20,298227, Some-college, White, Male,35, United-States
44,290521, HS-grad, Black, Female,40, United-States
51,56915, HS-grad, Amer-Indian-Eskimo, Male,40, United-States
20,146538, HS-grad, White, Male,40, United-States
17,258872, 11th, White, Female,5, United-States
19,206399, HS-grad, Black, Female,40, United-States
45,197332, Some-college, White, Male,55, United-States
60,245062, HS-grad, White, Male,40, United-States
42,197583, Assoc-acdm, Black, Male,40, NA
44,234885, HS-grad, White, Female,40, United-States
40,72887, Assoc-voc, Asian-Pac-Islander, Male,40, United-States
30,180374, HS-grad, White, Female,40, United-States
38,351299, Some-college, Black, Male,50, United-States
23,54012, HS-grad, White, Male,60, United-States
32,115745, Some-college, White, Male,40, United-States
44,116632, Assoc-acdm, White, Male,40, United-States
54,288825, HS-grad, Black, Male,40, United-States
32,132601, Bachelors, White, Male,50, United-States
50,193374, 1st-4th, White, Male,40, United-States
24,170070, Bachelors, White, Female,20, United-States
37,126708, HS-grad, White, Female,60, United-States
52,35598, HS-grad, White, Male,40, United-States
38,33983, Some-college, White, Male,40, United-States
49,192776, Masters, White, Male,45, United-States
30,118551, Bachelors, White, Female,16, United-States
60,201965, Some-college, White, Male,40, United-States
22,139883, Some-college, White, Male,40, United-States
35,285020, HS-grad, White, Male,40, United-States
30,303990, HS-grad, White, Male,60, United-States
67,49401, Assoc-voc, White, Female,24, United-States
46,279196, Bachelors, White, Female,40, United-States
17,211870, 9th, White, Male,6, United-States
22,281432, Some-college, White, Male,30, United-States
27,161155, 10th, White, Male,40, United-States
23,197904, HS-grad, White, Female,35, United-States
33,111746, Assoc-acdm, White, Male,45, Portugal
43,170721, Some-college, White, Male,20, United-States
28,70100, Bachelors, White, Male,20, United-States
41,193626, HS-grad, White, Female,40, United-States
52,271749, 12th, Black, Male,40, United-States
25,189775, Some-college, Black, Female,20, United-States
63,401531, 1st-4th, White, Male,35, United-States
59,286967, HS-grad, White, Male,45, United-States
45,164427, Bachelors, White, Female,40, United-States
38,91039, Bachelors, White, Male,60, United-States
40,347934, HS-grad, White, Female,35, United-States
46,371373, HS-grad, White, Male,40, United-States
35,32220, Assoc-acdm, White, Female,60, United-States
34,187251, HS-grad, White, Female,25, United-States
33,178107, Bachelors, White, Male,20, United-States
41,343121, HS-grad, White, Female,36, United-States
20,262749, Some-college, White, Male,40, United-States
23,403107, 5th-6th, White, Male,40, El-Salvador
26,64293, Some-college, White, Female,35, United-States
72,303588, HS-grad, White, Male,20, United-States
23,324960, HS-grad, White, Male,40, Poland
62,114060, HS-grad, White, Male,40, United-States
52,48925, Some-college, White, Male,40, United-States
58,180980, Some-college, White, Female,42, France
25,181054, Bachelors, White, Female,40, United-States
24,388093, Bachelors, Black, Male,40, United-States
19,249609, Some-college, White, Male,8, United-States
43,112131, Some-college, White, Male,40, United-States
47,543162, HS-grad, Black, Female,40, United-States
39,91996, HS-grad, White, Female,40, United-States
49,141944, Assoc-voc, White, Male,42, United-States
53,251804, 5th-6th, Black, Female,30, United-States
32,37070, Assoc-voc, White, Male,45, United-States
34,337587, Some-college, White, Male,50, United-States
28,189346, HS-grad, White, Male,45, United-States
57,222216, Assoc-voc, White, Female,38, United-States
25,267044, Some-college, Amer-Indian-Eskimo, Female,20, United-States
20,214635, Some-college, White, Male,24, United-States
21,204226, Some-college, White, Female,35, United-States
34,108116, Bachelors, White, Male,50, United-States
38,99146, Bachelors, White, Male,80, United-States
50,196232, HS-grad, White, Male,50, United-States
24,248344, Some-college, Black, Male,50, United-States
37,186035, Some-college, White, Male,45, United-States
44,177905, Some-college, White, Male,58, United-States
28,85812, Some-college, White, Female,40, United-States
42,221172, Bachelors, White, Male,40, United-States
74,99183, Some-college, White, Female,9, United-States
38,190387, HS-grad, White, Male,50, United-States
44,202692, Masters, White, Male,40, United-States
44,109339, 11th, Other, Female,46, Puerto-Rico
26,108658, HS-grad, White, Male,40, United-States
36,197202, HS-grad, Black, Male,40, United-States
41,101739, Assoc-acdm, White, Female,50, United-States
67,231559, Prof-school, White, Male,48, United-States
39,207853, 12th, White, Male,50, United-States
57,190942, 1st-4th, Black, Female,30, United-States
29,102345, Assoc-voc, White, Male,40, United-States
31,41493, Bachelors, White, Female,45, United-States
34,190027, HS-grad, Black, Female,40, United-States
44,210525, Some-college, White, Male,40, United-States
29,133937, Doctorate, White, Male,40, United-States
30,237903, Some-college, White, Female,40, United-States
27,163862, HS-grad, White, Male,40, United-States
27,201872, Some-college, White, Male,50, United-States
32,84179, HS-grad, White, Female,45, United-States
58,51662, 10th, White, Female,8, United-States
35,233327, Some-college, White, Male,40, United-States
21,259510, HS-grad, White, Male,36, United-States
28,184831, Some-college, White, Male,40, United-States
46,245724, Some-college, White, Male,50, United-States
36,27053, HS-grad, White, Female,40, United-States
72,205343, 11th, White, Female,40, United-States
35,229328, HS-grad, Black, Female,40, United-States
33,319560, Assoc-voc, Black, Female,40, United-States
69,136218, 11th, White, Female,40, United-States
35,54576, HS-grad, White, Male,40, United-States
31,323069, HS-grad, White, Female,20, NA
34,148291, HS-grad, White, Female,32, United-States
30,152453, 11th, White, Male,40, Mexico
28,114053, Bachelors, White, Male,55, United-States
54,212960, Bachelors, White, Male,35, United-States
47,264052, Some-college, White, Male,50, United-States
24,82804, HS-grad, Black, Female,40, United-States
52,334273, Bachelors, White, Male,60, United-States
20,27337, HS-grad, Amer-Indian-Eskimo, Male,48, United-States
43,188436, Masters, White, Male,45, United-States
45,433665, 7th-8th, White, Female,40, Mexico
29,110663, HS-grad, White, Male,35, United-States
47,87490, Masters, White, Male,42, United-States
24,354351, HS-grad, White, Male,40, United-States
51,95469, HS-grad, White, Male,40, United-States
17,242718, 11th, White, Male,12, United-States
37,22463, Assoc-voc, White, Male,40, United-States
27,158156, Doctorate, White, Female,70, United-States
29,350162, Bachelors, White, Male,40, United-States
18,165532, 12th, White, Male,25, United-States
36,28738, Assoc-acdm, White, Female,35, United-States
58,283635, Bachelors, White, Female,40, United-States
26,86646, Some-college, White, Male,45, United-States
65,195733, Some-college, White, Male,30, United-States
57,69884, HS-grad, White, Male,40, United-States
59,199713, HS-grad, White, Male,40, United-States
27,181659, HS-grad, White, Male,40, United-States
31,340939, Bachelors, White, Male,40, United-States
21,197747, Some-college, White, Female,24, United-States
29,34292, Some-college, White, Male,60, United-States
18,156764, 11th, White, Male,40, United-States
52,25826, 10th, White, Male,47, United-States
57,103948, Bachelors, White, Male,80, United-States
42,137390, HS-grad, White, Male,40, United-States
55,105138, HS-grad, Asian-Pac-Islander, Female,40, United-States
60,39352, 7th-8th, White, Male,48, United-States
31,168387, Bachelors, White, Male,40, Canada
23,117789, Bachelors, White, Female,40, United-States
27,267147, HS-grad, White, Male,40, United-States
23,99399, Some-college, Amer-Indian-Eskimo, Female,25, United-States
42,214242, Prof-school, White, Male,50, United-States
25,200408, Some-college, White, Male,40, United-States
49,136455, Bachelors, White, Female,45, United-States
32,239824, Bachelors, White, Male,40, United-States
19,217039, Some-college, White, Male,28, United-States
60,51290, 7th-8th, White, Female,40, United-States
42,175674, 9th, White, Male,40, United-States
35,194404, Assoc-acdm, White, Male,40, United-States
48,45612, HS-grad, Black, Female,37, United-States
51,410114, Masters, White, Male,40, United-States
29,182521, HS-grad, Amer-Indian-Eskimo, Male,40, United-States
36,339772, HS-grad, Black, Male,40, United-States
17,169658, 10th, White, Female,21, United-States
52,200853, Masters, White, Female,60, United-States
24,247564, HS-grad, White, Male,40, United-States
24,249909, HS-grad, White, Male,50, United-States
26,208122, Bachelors, White, Male,40, United-States
27,109881, Bachelors, White, Female,20, United-States
39,207824, HS-grad, White, Male,60, United-States
30,369027, HS-grad, Black, Male,45, United-States
50,114117, HS-grad, White, Male,32, United-States
52,51048, Bachelors, White, Male,55, United-States
46,102388, Prof-school, White, Male,45, United-States
23,190483, Bachelors, White, Female,20, United-States
45,462440, 11th, Black, Female,20, United-States
65,109351, 9th, Black, Female,24, United-States
29,34383, Assoc-voc, White, Male,55, United-States
