,Offense,Month,Country,Income (K),Population,Age Group,Number of Offences
61,Fraud,8,Nigeria,179.42212,250,1,193
62,Rape,9,Nigeria,181.21634,250,1,193
63,Burglary,10,Nigeria,183.02851,250,1,193
64,Murder,11,Nigeria,184.85879,250,1,193
65,Arson,12,Nigeria,186.70738,250,1,193
66,Domestic Violence,1,Nigeria,188.57445,250,2,193
67,Fraud,2,Nigeria,190.4602,250,3,193
68,Rape,3,Nigeria,192.3648,355,4,194
69,Burglary,4,Nigeria,194.28845,360,5,194
70,Murder,5,Nigeria,196.23133,360,6,194
71,Arson,6,Nigeria,198.19365,360,1,194
72,Domestic Violence,7,Nigeria,200.17558,360,1,194
73,Fraud,8,Nigeria,202.17734,360,1,194
74,Rape,9,Nigeria,204.19911,360,1,194
75,Burglary,10,Nigeria,206.2411,360,1,194
76,Murder,11,Nigeria,208.30351,360,1,195
77,Arson,12,Nigeria,210.38655,360,1,195
78,Domestic Violence,1,Nigeria,212.49041,360,2,195
79,Fraud,2,Nigeria,214.61532,360,3,195
80,Rape,3,Nigeria,216.76147,360,4,195
81,Burglary,4,Nigeria,218.92909,360,5,195
82,Murder,5,Nigeria,221.11838,360,6,195
83,Arson,6,Nigeria,223.32956,360,1,195
84,Domestic Violence,1,India,90.0,240,2,200
85,Fraud,2,India,90.0,1200,2,300
86,Rape,3,India,90.9,1200,3,300
87,Burglary,4,India,91.809,1200,4,300
88,Murder,5,India,92.72709,1200,5,300
89,Arson,6,India,93.65436,1200,6,400
90,Domestic Violence,7,India,94.5909,1200,1,400
91,Fraud,8,India,95.53681,1200,1,400
92,Rape,9,India,96.49218,1200,1,400
93,Burglary,10,India,97.4571,1200,1,400
94,Murder,11,India,98.43167,1200,1,400
95,Arson,12,India,99.41599,1200,1,400
96,Domestic Violence,1,India,100.41015,1200,2,400
97,Fraud,2,India,101.41425,1200,3,400
98,Rape,3,India,102.4284,1200,4,400
99,Burglary,4,India,103.45268,1200,5,500
100,Murder,5,India,104.48721,1200,6,500
101,Arson,6,India,105.53208,1200,1,500
102,Domestic Violence,7,India,106.5874,1200,1,500
103,Fraud,8,India,107.65327,1200,1,500
104,Rape,9,India,108.72981,1200,1,500
105,Burglary,10,India,109.8171,1200,1,500
106,Murder,11,India,110.91527,1200,1,500
107,Arson,12,India,112.02443,1200,1,500
108,Domestic Violence,1,India,113.14467,1200,2,500
109,Fraud,2,India,114.27612,1200,3,501
110,Rape,3,India,115.41888,1200,4,600
111,Burglary,4,India,116.57307,1200,5,600
112,Murder,5,India,117.7388,1200,6,600
113,Arson,6,India,118.91619,1300,1,600
114,Domestic Violence,7,India,120.10535,1300,1,600
115,Fraud,8,India,121.3064,1300,1,600
116,Rape,9,India,122.51947,1300,1,600
117,Burglary,10,India,123.74466,1300,1,600
118,Murder,11,India,124.98211,1300,1,700
119,Arson,12,India,126.23193,1300,1,700
120,Domestic Violence,1,India,127.49425,1300,2,700
121,Fraud,2,India,128.76919,1300,3,700
122,Rape,3,India,130.05688,1300,4,700
123,Burglary,4,India,131.35745,1300,5,700
124,Murder,5,India,132.67103,1300,6,700
125,Arson,6,India,133.99774,1300,1,700
0,Domestic Violence,1,US,100.0,350,1,190
1,Fraud,2,US,101.0,350,2,190
2,Rape,3,US,102.01,350,3,190
3,Burglary,4,US,103.0301,350,4,190
4,Murder,5,US,104.0604,350,5,190
5,Arson,6,US,105.10101,350,6,192
6,Domestic Violence,7,US,106.15202,355,1,192
7,Fraud,8,US,107.21354,355,1,192
8,Rape,9,US,108.28567,355,1,192
9,Burglary,10,US,109.36853,355,1,192
10,Murder,11,US,110.46221,355,1,192
11,Arson,12,US,111.56683,355,1,192
12,Domestic Violence,1,US,112.6825,355,2,192
13,Fraud,2,US,113.80933,355,3,192
14,Rape,3,US,114.94742,355,4,192
15,Burglary,4,US,116.0969,355,5,193
16,Murder,5,US,117.25786,355,6,193
17,Arson,6,US,118.43044,355,1,193
18,Domestic Violence,7,US,119.61475,355,1,193
19,Fraud,8,US,120.8109,355,1,193
20,Rape,9,US,122.019,355,1,193
21,Burglary,10,US,123.23919,355,1,193
22,Murder,11,US,124.47159,355,1,193
23,Arson,12,US,125.7163,355,1,193
24,Domestic Violence,1,US,126.97346,355,2,193
25,Fraud,2,US,128.2432,355,3,193
26,Rape,3,US,129.52563,355,4,194
27,Burglary,4,US,130.82089,360,5,194
28,Murder,5,US,132.1291,360,6,194
29,Arson,6,US,133.45039,360,1,194
30,Domestic Violence,7,US,134.78489,360,1,194
31,Fraud,8,US,136.13274,360,1,194
32,Rape,9,US,137.49407,360,1,194
33,Burglary,10,US,138.86901,360,1,194
34,Murder,11,US,140.2577,360,1,195
35,Arson,12,US,141.66028,360,1,195
36,Domestic Violence,1,US,143.07688,360,2,195
37,Fraud,2,US,144.50765,360,3,195
38,Rape,3,US,145.95272,360,4,195
39,Burglary,4,US,147.41225,360,5,195
40,Murder,5,US,148.88637,360,6,195
41,Arson,6,US,150.37524,360,1,195
42,Domestic Violence,1,Canada,100.0,350,1,190
43,Fraud,2,Canada,110.0,350,2,190
44,Rape,3,Canada,111.1,350,3,190
45,Burglary,4,Canada,112.211,350,4,190
46,Murder,5,Canada,113.33311,350,5,190
47,Arson,6,Canada,114.46644,350,6,192
48,Domestic Violence,7,Canada,115.61111,355,1,192
49,Fraud,8,Canada,116.76722,355,1,192
50,Rape,9,Canada,117.93489,355,1,192
51,Burglary,10,Canada,119.11424,355,1,192
52,Murder,11,Canada,120.30538,355,1,192
53,Arson,12,Canada,121.50843,355,1,192
54,Domestic Violence,1,Canada,122.72352,355,2,192
55,Fraud,2,Canada,123.95075,355,3,192
56,Rape,3,Canada,125.19026,355,4,192
57,Burglary,4,Canada,126.44216,355,5,193
58,Murder,5,Canada,127.70659,355,6,193
59,Arson,6,Canada,128.98365,355,1,193
60,Domestic Violence,7,Canada,130.27349,355,1,193
61,Fraud,8,Canada,131.57622,355,1,193
62,Rape,9,Canada,132.89198,355,1,193
63,Burglary,10,Canada,134.2209,355,1,193
64,Murder,11,Canada,135.56311,355,1,193
65,Arson,12,Canada,136.91874,355,1,193
66,Domestic Violence,1,Canada,138.28793,355,2,193
67,Fraud,2,Canada,139.67081,355,3,193
68,Rape,3,Canada,141.06752,355,4,194
69,Burglary,4,Canada,142.47819,360,5,194
70,Murder,5,Canada,143.90298,360,6,194
71,Arson,6,Canada,145.34201,360,1,194
72,Domestic Violence,7,Canada,146.79543,360,1,194
73,Fraud,8,Canada,148.26338,360,1,194
74,Rape,9,Canada,149.74601,360,1,194
75,Burglary,10,Canada,151.24347,360,1,194
76,Murder,11,Canada,152.75591,360,1,195
77,Arson,12,Canada,154.28347,360,1,195
78,Domestic Violence,1,Canada,155.8263,360,2,195
79,Fraud,2,Canada,157.38457,360,3,195
80,Rape,3,Canada,158.95841,360,4,195
81,Burglary,4,Canada,160.548,360,5,195
82,Murder,5,Canada,162.15348,360,6,195
83,Arson,6,Canada,163.77501,360,1,195
84,Domestic Violence,1,UK,20.0,350,1,190
85,Fraud,2,UK,20.0,350,2,190
86,Rape,3,UK,20.2,350,3,190
87,Burglary,4,UK,20.402,350,4,190
88,Murder,5,UK,20.60602,350,5,190
89,Arson,6,UK,20.81208,350,6,192
90,Domestic Violence,7,UK,21.0202,355,1,192
91,Fraud,8,UK,21.2304,355,1,192
92,Rape,9,UK,21.44271,355,1,192
93,Burglary,10,UK,21.65713,355,1,192
94,Murder,11,UK,21.87371,355,1,192
95,Arson,12,UK,22.09244,355,1,192
96,Domestic Violence,1,UK,22.31337,355,2,192
97,Fraud,2,UK,22.5365,355,3,192
98,Rape,3,UK,22.76187,355,4,192
99,Burglary,4,UK,22.98948,355,5,193
100,Murder,5,UK,23.21938,355,6,193
101,Arson,6,UK,23.45157,355,1,193
102,Domestic Violence,7,UK,23.68609,355,1,193
103,Fraud,8,UK,23.92295,355,1,193
104,Rape,9,UK,24.16218,355,1,193
105,Burglary,10,UK,24.4038,355,1,193
106,Murder,11,UK,24.64784,355,1,193
107,Arson,12,UK,24.89432,355,1,193
108,Domestic Violence,1,UK,25.14326,355,2,193
109,Fraud,2,UK,25.39469,355,3,193
110,Rape,3,UK,25.64864,355,4,194
111,Burglary,4,UK,25.90513,360,5,194
112,Murder,5,UK,26.16418,360,6,194
113,Arson,6,UK,26.42582,360,1,194
114,Domestic Violence,7,UK,26.69008,360,1,194
115,Fraud,8,UK,26.95698,360,1,194
116,Rape,9,UK,27.22655,360,1,194
117,Burglary,10,UK,27.49881,360,1,194
118,Murder,11,UK,27.7738,360,1,195
119,Arson,12,UK,28.05154,360,1,195
120,Domestic Violence,1,UK,28.33206,360,2,195
121,Fraud,2,UK,28.61538,360,3,195
122,Rape,3,UK,28.90153,360,4,195
123,Burglary,4,UK,29.19054,360,5,195
124,Murder,5,UK,29.48245,360,6,195
125,Arson,6,UK,29.77727,360,1,195
